Metric,25_3,14_2d1
SSB,-0.1399815608092578,0.3885924915784031
Rec,0.16065060523507957,0.16816348183729157
Bratio,0.02837538368874176,0.13326622416860162
F,0.40113512188954187,-0.09248032764816433
WoodHole_SSB.all,-0.12468711071024292,0.418985857608175
WoodHole_Rec.all,-0.05693093334882208,0.22253718758553778
WoodHole_Bratio.all,NA,NA
WoodHole_F.all,NA,NA
AFSC_Hurtado_SSB,-0.013998156080925781,0.03885924915784031
AFSC_Hurtado_Rec,0.016065060523507958,0.01681634818372916
AFSC_Hurtado_F,0.04011351218895419,-0.009248032764816432
AFSC_Hurtado_Bratio,0.0028375383688741757,0.013326622416860162
