Metric,25_3,14_2d1
SSB,-0.16083196151510007,0.2843686331303236
Rec,0.9536759011460116,1.1265819240646393
Bratio,0.007800410054151713,0.0701874986868981
F,0.43815233700720874,0.19279192977119822
WoodHole_SSB.all,-0.20425860212537805,0.24652952780165177
WoodHole_Rec.all,-0.15087679479400407,0.06169700443093751
WoodHole_Bratio.all,NA,NA
WoodHole_F.all,NA,NA
AFSC_Hurtado_SSB,-0.016083196151510007,0.028436863313032364
AFSC_Hurtado_Rec,0.09536759011460116,0.11265819240646394
AFSC_Hurtado_F,0.04381523370072087,0.019279192977119823
AFSC_Hurtado_Bratio,7.800410054151713e-4,0.00701874986868981
