Yr,Catch,Catch_std,model
2027,25406.2,1184.15,scenario_1
2028,24305.3,1090.53,scenario_1
2029,23451.9,1007.76,scenario_1
2030,22785,935.711,scenario_1
2031,22257.9,874.681,scenario_1
2032,21837.3,824.387,scenario_1
2033,21499.5,783.86,scenario_1
2034,21226.9,751.732,scenario_1
2035,21006.4,726.534,scenario_1
2036,20827.7,706.884,scenario_1
2037,20682.9,691.59,scenario_1
2038,20565.4,679.678,scenario_1
2039,20470.1,670.378,scenario_1
2040,20392.7,663.089,scenario_1
2041,20329.9,657.355,scenario_1
2027,16118.7,49.9998,scenario_2
2028,17843.4,1016.3,scenario_2
2029,17544.2,953.887,scenario_2
2030,17340,897.994,scenario_2
2031,17198.4,849.294,scenario_2
2032,17097.2,808.081,scenario_2
2033,17022.4,774.002,scenario_2
2034,16965.4,746.274,scenario_2
2035,16920.8,723.928,scenario_2
2036,16885.2,706.011,scenario_2
2037,16856.4,691.668,scenario_2
2038,16832.9,680.177,scenario_2
2039,16813.7,670.952,scenario_2
2040,16797.8,663.524,scenario_2
2041,16784.7,657.525,scenario_2
2027,18448.1,171.864,scenario_3
2028,17993.4,194.562,scenario_3
2029,17669.1,206.125,scenario_3
2030,17437.3,212.54,scenario_3
2031,17268.6,218.023,scenario_3
2032,17143.1,224.457,scenario_3
2033,17047.4,232.109,scenario_3
2034,16973,240.517,scenario_3
2035,16914,249.088,scenario_3
2036,16866.7,257.344,scenario_3
2037,16828.4,264.982,scenario_3
2038,16797.2,271.849,scenario_3
2039,16771.5,277.901,scenario_3
2040,16750.4,283.158,scenario_3
2041,16733,287.676,scenario_3
2027,12882.2,564.057,scenario_4
2028,12752.8,538.592,scenario_4
2029,12700.9,514.896,scenario_4
2030,12700.2,493.214,scenario_4
2031,12729.6,474.093,scenario_4
2032,12774.4,457.85,scenario_4
2033,12825.1,444.48,scenario_4
2034,12875.9,433.733,scenario_4
2035,12923.8,425.246,scenario_4
2036,12967.2,418.622,scenario_4
2037,13005.6,413.489,scenario_4
2038,13039,409.524,scenario_4
2039,13067.9,406.464,scenario_4
2040,13092.6,404.099,scenario_4
2041,13113.7,402.264,scenario_4
2027,25319,1108.42,scenario_5
2028,3.38075e-6,2.16546e-7,scenario_5
2029,3.54347e-6,2.24549e-7,scenario_5
2030,3.72756e-6,2.34701e-7,scenario_5
2031,3.92613e-6,2.46829e-7,scenario_5
2032,4.13265e-6,2.60697e-7,scenario_5
2033,4.34134e-6,2.75982e-7,scenario_5
2034,4.54742e-6,2.92308e-7,scenario_5
2035,4.74709e-6,3.09282e-7,scenario_5
2036,4.93762e-6,3.2653e-7,scenario_5
2037,5.11715e-6,3.43721e-7,scenario_5
2038,5.28461e-6,3.60577e-7,scenario_5
2039,5.4395e-6,3.76874e-7,scenario_5
2040,5.58177e-6,3.92441e-7,scenario_5
2041,5.71168e-6,4.07158e-7,scenario_5
2027,29407.2,1285.35,scenario_6
2028,27817.3,1170.82,scenario_6
2029,26563.5,1070.21,scenario_6
2030,25568,983.458,scenario_6
2031,24771.8,910.864,scenario_6
2032,24131.9,851.881,scenario_6
2033,23616.5,805.093,scenario_6
2034,23201.3,768.61,scenario_6
2035,22867.1,740.477,scenario_6
2036,22598.3,718.902,scenario_6
2037,22382.2,702.382,scenario_6
2038,22208.8,689.713,scenario_6
2039,21810,870.093,scenario_6
2040,21511.6,794.597,scenario_6
2041,21314.5,742.027,scenario_6
2027,25406.2,7.91162e-8,scenario_7
2028,24305.3,5.14522e-8,scenario_7
2029,23451.9,4.24467e-8,scenario_7
2030,26465.7,1330.75,scenario_7
2031,25564,1217.15,scenario_7
2032,24822.1,1118.88,scenario_7
2033,24210.6,1035.46,scenario_7
2034,23707.5,965.879,scenario_7
2035,23295.1,908.738,scenario_7
2036,22958.4,862.421,scenario_7
2037,22684.7,825.254,scenario_7
2038,22463.1,795.638,scenario_7
2039,22284.2,772.143,scenario_7
2040,21921.7,995.001,scenario_7
2041,21605.1,891.627,scenario_7
